ncaa_id,year,x,y,z,player_name,team
3913239,2020,-20.719143,35.95617,4.214027,Dwayne Sutton,Louisville
3913246,2019,-40.165012,0.36811095,-4.4786444,Dererk Pardon,Northwestern
3913549,2019,47.544533,-20.273062,12.540547,Kipper Nichols,Illinois
3913549,2020,16.49555,-34.084057,11.764536,Kipper Nichols,Illinois
3913551,2019,-27.374016,-8.347877,44.1413,Blake Paul,Tulane
3913554,2019,52.788624,-7.257885,12.845167,James Bolden,West Virginia
3913554,2020,32.722134,-13.148934,-13.589989,James Bolden,Alabama
3913555,2019,44.854557,19.96714,33.73637,Lamont West,West Virginia
3913701,2020,40.369736,39.535168,11.106865,Jaevin Cumberland,Cincinnati
3914046,2020,-34.26772,-14.631254,14.3714485,Eric Hamilton,Pittsburgh
3914047,2019,63.56206,16.06814,15.123632,Markis McDuffie,Wichita St.
3914269,2019,15.384322,-2.9577785,45.788303,William Jackson II,Georgia
3914270,2019,3.4686866,-30.405735,41.038628,E'Torrion Wilridge,Georgia
3914273,2019,-34.390915,-16.002539,-3.1078477,Derek Ogbeide,Georgia
3914279,2020,-8.052312,45.111496,-17.908295,Nate Sestina,Kentucky
3914282,2019,-20.177797,22.874907,-38.87177,Bennie Boatwright,USC
3914287,2019,-38.50949,5.576011,43.88293,Gligorije Rakocevic,Oregon St.
3914288,2019,57.3282,-8.731498,-15.279615,Stephen Thompson Jr.,Oregon St.
3914289,2019,45.789906,10.406865,39.526035,Tres Tinkle,Oregon St.
3914289,2020,48.45464,12.17382,34.04623,Tres Tinkle,Oregon St.
3914639,2019,45.302708,-11.129737,-27.287552,Rob Edwards,Arizona St.
3914639,2020,41.27227,35.572525,1.7469857,Rob Edwards,Arizona St.
3915193,2019,46.595623,13.541642,-18.006481,Sedrick Barefield,Utah
3915194,2019,32.7475,-34.05409,12.256676,Jarrey Foster,SMU
3917309,2019,4.6729116,39.67953,12.2619705,McKay Cannon,BYU
3917384,2021,56.34791,5.609295,-1.1008067,K.J. Walton,Ball St.
3917385,2019,35.11375,-6.9535637,35.80531,Kevin Puryear,Missouri
3918423,2019,51.609196,37.345024,9.248431,Admiral Schofield,Tennessee
3918424,2019,-18.11098,36.405148,-18.050621,Kyle Alexander,Tennessee
3918721,2019,14.093962,16.483173,38.872612,Joe Cremo,Villanova
3918723,2019,39.57452,-21.917051,25.811161,David Nichols,Florida St.
3919334,2019,25.761621,39.435535,8.95223,Lagerald Vick,Kansas
3919421,2019,20.94806,19.581137,6.0780215,Nelson Kaputo,St. Bonaventure
3919422,2019,40.64483,-30.965801,-2.6380143,Courtney Stockard,St. Bonaventure
3919423,2019,-26.540213,-10.23577,-11.7590065,LaDarien Griffin,St. Bonaventure
3919437,2020,44.801373,-27.918352,-29.981312,Prentiss Nixon,Iowa St.
3919454,2019,51.54903,13.616392,-2.9916167,Terence Davis,Mississippi
3920137,2019,45.323265,-14.558689,16.42437,Wendell Mitchell,Texas A&M
3920137,2020,44.362373,-31.662592,1.6572733,Wendell Mitchell,Texas A&M
3920139,2019,19.17071,20.108833,40.870453,King McClure,Baylor
3920202,2019,5.6334968,30.779879,20.104864,Connor Cashaw,Creighton
3920203,2019,53.198185,-14.448477,32.72333,Marcus Evans,VCU
3920203,2020,33.102123,-19.138655,-16.760784,Marcus Evans,VCU
3922031,2019,45.604862,6.4056673,16.992466,Eli Cain,DePaul
3922034,2020,29.08626,27.76951,-5.525521,Erten Gazi,Fordham
3922039,2019,33.380997,-21.704912,8.456649,Laquincy Rideau,South Florida
3922039,2020,44.21647,-25.634754,24.317654,Laquincy Rideau,South Florida
3922045,2019,36.219162,-6.9378,-32.117737,Antwon Portley,Fordham
3922045,2020,39.189896,-35.44033,0.52355266,Antwon Portley,Fordham
3922051,2019,19.806118,53.600376,0.5564535,Marcus Sheffield,Stanford
3922052,2019,-38.940357,9.614561,31.12109,Josh Sharma,Stanford
3922057,2022,42.760025,-30.023659,-27.966156,B.J. Maxwell,IU Indy
3922231,2019,26.118118,18.225296,24.13738,Prince Ali,UCLA
3922231,2020,38.650566,-34.639378,-18.071526,Prince Ali,UCLA
3922234,2019,3.5008104,37.30977,8.111023,Viont'e Daniels,Washington St.
3922235,2019,-17.745064,9.848904,-41.256836,Robert Franks,Washington St.
3923248,2019,-7.881729,16.44094,-39.23993,Eric Cobb,Connecticut
3923253,2019,-20.24324,15.239593,-36.156216,Chris Silva,South Carolina
3924873,2019,10.170029,-14.744366,49.08181,Christion Thompson,Rhode Island
3924873,2020,55.821465,1.7987939,23.211784,Christion Thompson,Tulane
3924876,2019,63.581528,11.339603,20.822002,Christian James,Oklahoma
3924878,2019,47.12969,22.874044,11.675124,Rashard Odomes,Oklahoma
3924895,2019,-38.53882,2.526834,43.936466,Josh Nebo,Texas A&M
3924895,2020,-41.28113,0.7263566,16.073826,Josh Nebo,Texas A&M
3924896,2019,49.489086,-13.857054,36.88012,KeVaughn Allen,Florida
3924898,2019,-28.924324,10.704363,38.26572,Kevarrius Hayes,Florida
3924900,2020,-18.142826,-18.322014,12.476297,Keith Stone,Miami FL
3934619,2019,29.844938,47.13818,-1.2220197,Justin Jenifer,Cincinnati
3934620,2019,39.276512,10.051498,40.310574,Tre Scott,Cincinnati
3934620,2020,35.312214,12.766776,53.732544,Tre Scott,Cincinnati
3934622,2019,54.349842,14.24836,-17.405958,Jalen Adams,Connecticut
3934623,2019,-22.288727,16.901047,-42.137283,Steven Enoch,Louisville
3934623,2020,-20.920454,15.945871,-42.3807,Steven Enoch,Louisville
3934628,2019,63.96255,9.770216,-2.494798,Shizz Alston Jr.,Temple
3934630,2019,-27.590134,7.829951,49.768234,Ernest Aflakpui,Temple
3934659,2019,42.619194,-26.186682,7.554278,Frank Howard,Syracuse
3934669,2019,-20.07193,19.376448,-41.97653,Jessie Govan,Georgetown
3934671,2019,8.893468,37.58508,17.16376,Kaleb Johnson,Georgetown
3934721,2019,-30.879906,9.317132,-18.223335,Juwan Morgan,Indiana
3935015,2019,54.245712,15.442404,-9.309709,Isaiah Moss,Iowa
3935015,2020,2.2842655,38.750244,23.283146,Isaiah Moss,Kansas
3936079,2019,34.525913,-39.43571,-10.177309,Paris Austin,California
3936079,2020,31.201504,-40.93576,-10.994432,Paris Austin,California
3936100,2019,37.147747,-23.146786,-33.866894,Jalen Poyser,St. Bonaventure
3936174,2020,39.212273,27.226204,32.821465,KJ Feagin,San Diego St.
3936190,2019,-33.6688,11.927475,42.4068,Jordan Hunter,Saint Mary's
3936192,2019,3.7280374,62.08326,7.086675,Tanner Krebs,Saint Mary's
3936192,2020,26.136496,50.164948,6.1375017,Tanner Krebs,Saint Mary's
3936293,2019,58.5049,-11.10454,-12.954449,Jimmy Whitt Jr.,SMU
3936293,2020,59.24279,17.434147,-5.8217773,Jimmy Whitt Jr.,Arkansas
3936297,2019,54.257942,-25.06508,3.4175506,Charles Matthews,Michigan
3936313,2019,42.321175,-18.107922,-17.92821,Jared Hamilton,Boston College
3936313,2020,38.172474,-9.155183,1.3053672,Jared Hamilton,Boston College
3937100,2019,6.1026344,47.723743,40.587257,Kyle Ahrens,Michigan St.
3937100,2020,0.8968469,40.70832,4.847027,Kyle Ahrens,Michigan St.
3937103,2019,13.52746,61.371555,15.730438,Matt McQuaid,Michigan St.
3938916,2019,25.419949,-37.1794,8.960423,Malik Ellison,Pittsburgh
3941317,2019,40.868362,-12.035356,37.739937,Issac Vann,VCU
3941317,2020,26.918386,-4.099027,50.225773,Issac Vann,VCU
3943608,2019,30.154089,-16.524567,-5.4936285,A.J. Turner,Northwestern
3943608,2020,27.521358,-13.059159,-3.8647752,A.J. Turner,Northwestern
3943610,2020,19.360218,52.641846,0.9720406,Matt Milon,UCF
3945564,2019,-31.752815,10.526806,-26.494858,Kerry Blackshear Jr.,Virginia Tech
3945564,2020,-28.16171,1.7161546,-21.117361,Kerry Blackshear Jr.,Florida
3945566,2019,41.964764,24.021004,39.592102,Justin Robinson,Virginia Tech
3945567,2020,25.584457,-30.882755,29.637413,Chris Clarke,Texas Tech
3946036,2019,-7.8708744,25.092413,-31.499905,Jonathan Laurent,Massachusetts
3946036,2020,10.096429,9.138198,59.90077,Jonathan Laurent,Oklahoma St.
3946957,2020,19.501726,54.704052,13.021372,Max Hazzard,Arizona
3946973,2019,55.962963,31.387121,19.66249,C.J. Bryce,N.C. State
3946973,2020,54.32912,10.634128,-6.7766714,C.J. Bryce,N.C. State
3946977,2020,29.62513,-26.198008,43.11895,Nick Rutherford,St. John's
3947017,2019,29.538858,-22.417368,-24.854855,Curtis Cobb,Massachusetts
3947074,2020,29.860853,44.663467,22.571384,Admon Gilder,Gonzaga
3947075,2019,-31.19244,-2.5831506,-6.948304,Elijah Thomas,Clemson
3947125,2019,25.84403,21.992096,-3.1096988,Nick Emery,BYU
3947128,2019,6.2566757,53.627968,17.508804,Zac Seljaas,BYU
3947128,2020,12.445073,48.8037,27.034996,Zac Seljaas,BYU
3947137,2019,-10.163246,38.107098,14.861551,Jeremy Jones,Gonzaga
3947156,2019,-33.805656,18.3063,21.440731,Mamadi Diakite,Virginia
3947156,2020,-24.42348,12.227061,-33.80809,Mamadi Diakite,Virginia
3947214,2020,10.142449,57.242115,6.966443,Jaire Grayer,TCU
3947221,2019,36.828068,-36.625813,-18.904644,Luwane Pipkins,Massachusetts
3947221,2020,45.15293,-6.899563,48.053223,Luwane Pipkins,Providence
3947244,2019,12.295853,-37.977882,18.097792,Lyrik Shreiner,DePaul
3947247,2019,11.899361,24.423111,60.089462,JD Miller,TCU
3947248,2019,45.31741,0.3198149,-26.981272,Tevin Mack,Alabama
3947248,2020,55.945427,18.344639,26.61798,Tevin Mack,Clemson
3947250,2019,61.454525,13.271928,27.096874,Kerwin Roach II,Texas
3947257,2019,31.408693,-18.667837,7.004508,Esa Ahmad,West Virginia
3947671,2019,51.650753,-19.30815,8.662712,Elijah Mitrou-Long,Texas
3947674,2019,40.06002,-17.174738,42.5455,Quincy McKnight,Seton Hall
3947674,2020,47.397495,-1.8450313,49.723213,Quincy McKnight,Seton Hall
3948134,2020,3.3462198,21.549807,53.069145,Donnell Gresham Jr.,Georgia
3948561,2019,4.1591654,-9.738555,31.90056,Zach McRoberts,Indiana
3948606,2020,5.8344016,-4.198156,34.414215,Quinton Adlesh,USC
3948642,2019,43.467556,11.214481,48.713966,Lamonte Turner,Tennessee
3948642,2020,39.2827,-36.609325,-1.5469168,Lamonte Turner,Tennessee
3948700,2020,58.732967,6.189794,30.83015,Jahaad Proctor,Purdue
3948762,2021,53.731316,-11.157142,-2.436637,Tyler Moffe,The Citadel
3948762,2022,36.52619,-7.7976975,-32.49852,Tyler Moffe,The Citadel
3948775,2019,-32.860836,4.840855,38.957115,Dominik Olejniczak,Mississippi
3948775,2020,-27.977274,-4.3595066,43.567078,Dominik Olejniczak,Florida St.
3948792,2019,-27.833817,-10.699352,45.81932,Nolan Narain,San Diego St.
3948863,2020,15.24794,57.92844,0.78862506,Tay Weaver,Saint Louis
3948866,2020,45.693268,22.370367,-27.064676,Nic Thomas,Tulane
3950377,2019,-29.940405,12.966445,56.951683,Tanner Borchardt,Nebraska
3950760,2019,-33.963806,-7.146483,56.820614,Kylor Kelley,Oregon St.
3950760,2020,-38.853886,7.2481446,39.197563,Kylor Kelley,Oregon St.
3951584,2020,43.48493,-24.559494,-32.77116,Kareem South,California
3958145,2019,-40.831104,-6.978932,22.435036,Jayce Johnson,Utah
3958145,2020,-30.627651,0.9493245,62.38457,Jayce Johnson,Marquette
3960812,2019,-8.874495,19.996117,-33.01564,Matt Freeman,Oklahoma
4065635,2019,51.113083,-6.373789,-24.101505,Ky Bowman,Boston College
4065637,2019,-40.26224,4.146238,-6.22661,Nik Popovic,Boston College
4065637,2020,39.962406,-21.615051,-12.727983,Nik Popovic,Boston College
4065646,2020,12.184218,58.732315,16.688683,Scott Spencer,La Salle
4065646,2021,17.801004,40.38309,-1.94558,Scott Spencer,La Salle
4065650,2019,-21.342339,8.650965,57.40529,Javin DeLaurier,Duke
4065650,2020,-23.147484,2.790463,50.396267,Javin DeLaurier,Duke
4065652,2019,-30.850836,13.949143,48.68592,Marques Bolden,Duke
4065653,2019,-2.2912736,3.644102,41.514755,Jack White,Duke
4065653,2020,-3.2667701,6.941329,47.80115,Jack White,Duke
4065655,2020,41.163235,-3.9802477,51.648712,CJ Walker,Ohio St.
