PPG_from,APG_from,RPG_from,SPG_from,BPG_from,MPG_from,Usage_from,off_rtg_from,def_rtg_from,off_usage_from,Min_per_from,ORtg_from,usgG1_from,eFG_from,TS_per_from,ORB_per_from,DRB_per_from,AST_per_from,TO_per_from,FT_per_from,twoP_per_from,TP_per_from,blk_per_from,stl_per_from,ftr_from,porpag_from,adjoe_from,pfr_from,drtg_from,adrtg_from,dporpag_from,stops_from,oreb_from,dreb_from,treb_from,ast_from,stl_from,blk_from,pts_from,class_from_---,class_from_Fr,class_from_Jr,class_from_So,class_from_Sr,bpm_change,player_key,year_from,year_to,cluster_from,cluster_to
14.4,2.1,2.2,1.1,0.2,30.8,19.5,,,,78.1,113.5,19.5,56.0,60.76,1.5,6.3,13.6,17.1,0.888,0.394,0.405,0.5,1.9,30.8,2.86937,113.94,3.3,108.404,107.976,2.32768,158.176,0.4375,1.7812,2.2188,2.0625,1.0625,0.1562,14.4062,0,0,0,0,0,2.81541,3906578,2019,2020,13.0,13.0
14.7,0.7,5.7,0.8,0.5,29.3,22.8,,,,19.3,99.6,22.8,48.5,50.75,3.5,16.1,5.2,12.7,0.654,0.62,0.229,1.8,0.9,26.5,1.85332,105.188,2.7,104.281,102.5,2.81805,44.1104,1.0,4.7,5.7,0.7,0.8,0.5,14.7,0,0,0,0,0,2.238312,3906661,2019,2020,,10.0
6.0,0.7,2.9,0.4,0.1,16.2,18.3,,,,37.5,103.0,18.3,48.6,51.64,5.1,13.7,6.9,13.3,0.769,0.421,0.344,0.6,1.3,21.8,0.65983,99.4299,5.2,109.017,107.749,1.19654,97.6343,0.75,2.1389,2.8889,0.6667,0.4167,0.1389,6.0278,0,0,0,0,0,3.055288,3906667,2019,2020,10.0,4.0
6.2,2.5,3.0,1.2,0.1,26.1,13.8,,,,66.3,106.5,13.8,53.3,57.78,3.3,10.1,15.3,24.3,0.722,0.5,0.458,0.6,2.4,52.2,0.712319,95.2,4.0,105.536,105.587,2.19639,146.277,0.7576,2.2727,3.0303,2.5152,1.1515,0.1212,6.1515,0,0,0,0,0,-1.861397,3906672,2019,2020,8.0,16.0
9.3,2.9,4.9,1.7,0.2,34.4,17.3,,,,86.1,94.6,17.3,48.4,50.29,4.0,10.9,16.2,22.3,0.586,0.476,0.333,0.7,2.7,35.4,0.534766,89.815,3.0,113.074,115.471,1.41883,188.546,1.4062,3.4688,4.875,2.9375,1.6875,0.2188,9.3125,0,0,0,0,0,-0.5265499999999999,3906672,2020,2021,16.0,12.0
2.5,0.5,2.0,,,,11.0,83.3506,106.0737,0.1146,38.1,82.8,10.9,37.0,43.04,3.6,11.1,5.4,23.6,0.652,0.486,0.0,0.3,3.6,50.0,-0.827816,69.6151,4.7,100.043,103.355,1.26502,66.924,0.5,1.5417,2.0417,0.5,1.125,0.0417,2.5417,0,0,0,0,1,2.137708,3906672,2021,2022,12.0,3.0
8.9,1.1,2.5,,,,19.7,102.4888,106.027,0.1898,61.3,101.0,18.8,50.0,54.71,1.8,8.9,9.1,15.4,0.765,0.419,0.394,0.0,0.7,38.5,1.23939,102.021,2.2,106.529,104.022,2.16483,118.895,0.375,2.0938,2.4688,1.0938,0.2812,0.0,8.9375,0,0,1,0,0,1.2442410000000002,3906684,2019,2020,13.0,1.0
8.2,2.8,3.2,0.9,0.4,22.7,18.7,,,,16.7,119.6,18.7,50.8,55.44,4.2,11.5,20.7,10.4,0.773,0.45,0.359,2.2,2.5,37.3,2.39989,117.511,3.8,98.76,98.172,2.49845,40.3344,0.9,2.3,3.2,2.8,0.9,0.4,8.2,0,0,0,0,0,0.8346400000000003,3906692,2019,2020,,14.0
2.4,0.1,1.9,0.1,0.5,9.7,10.1,,,,20.6,131.8,10.1,65.6,67.27,8.7,9.7,1.5,11.9,0.714,0.656,0.0,5.8,0.5,43.8,0.652603,108.714,5.8,109.041,109.389,0.616161,40.1367,0.8621,1.0345,1.8966,0.1379,0.1379,0.4828,2.3793,0,0,0,0,0,-4.056602,3906730,2019,2020,5.0,0.0
0.9,0.0,0.4,0.1,0.0,2.6,20.7,,,,1.5,87.4,20.7,50.0,46.82,6.5,5.3,0.0,14.0,0.0,0.4,0.5,0.0,2.9,14.3,-0.0246306,84.8432,4.2,102.94,106.62,0.215107,3.64846,0.125,0.25,0.375,0.0,0.125,0.0,0.875,0,0,0,0,0,11.20418,3906762,2019,2020,,
