team,num_players,total_current_usage,total_optimal_usage,usage_concentration,top_2_usage,top_3_usage,weighted_team_bpm,potential_team_bpm,bpm_improvement_potential,overutilized_count,underutilized_count
Northern Arizona,12,233.63411664131306,230,0.2280385543550174,53.277586206896544,76.29681697612732,-5.622573010438152,1.652301349586377,7.274874360024529,3,3
Jackson St.,10,178.3611347678247,180,0.32353601066239607,57.70625,79.59553571428572,-4.176257008113456,-0.28522873280053396,3.891028275312922,5,3
Montana St.,9,175.46386388263304,165,0.2829190750482927,49.642074074074074,72.89762962962963,-1.7888877109941013,1.1412682275665884,2.9301559385606897,3,1
Chattanooga,9,182.8755972995853,195,0.2758308346249571,50.442728635682165,74.0855857785393,-3.6079807538726594,-0.33960120099325647,3.268379552879403,1,3
South Florida,11,203.26318793706292,215,0.2482783593430441,50.465850815850814,73.80827505827506,0.3621934790898803,5.969082504473414,5.606889025383534,4,3
St. John's,10,195.45336550836552,190,0.2614008028655813,51.09166666666667,73.28626126126126,3.355799656749172,7.277619139334012,3.9218194825848403,2,3
The Citadel,12,226.8487285096768,320,0.21865420581060344,49.60142857142857,71.79373626373626,-6.800728533997443,0.016671287402471924,6.817399821399915,0,9
Richmond,12,247.58478440680403,230,0.2565275077161094,63.5123076923077,86.981872909699,-5.758278394973328,0.8960205480604836,6.654298943033811,3,2
Charlotte,12,218.90864405161787,200,0.23483185740590015,51.40672348484848,73.81609848484848,-2.564789987444213,1.0950583811404722,3.6598483685846848,6,4
UTSA,9,164.09753487253485,135,0.29218250358648995,47.94642857142857,71.22050264550265,-5.738867061092868,-2.4188406838873,3.3200263772055676,4,1
Detroit Mercy,12,222.6862258988476,210,0.23888620165860897,53.19666666666666,73.80011494252872,-4.92142612776137,-0.2883095844182565,4.633116543343113,2,2
George Washington,9,174.61946688158022,165,0.26772572375572184,46.750123152709364,67.86188785859171,1.3464150883899317,3.7066186862364807,2.360203597846549,3,2
South Dakota St.,10,178.37936437764023,190,0.2755266901726312,49.148275862068964,69.91379310344827,-1.7240869313169376,0.8039526247581079,2.5280395560750453,2,2
Presbyterian,10,172.12623956442832,220,0.28446176165375375,48.96333333333333,69.9,-4.387412567390684,-1.0143844041253605,3.3730281632653236,2,5
West Virginia,8,159.91852687626775,210,0.30328066417132876,48.500197044334975,70.33549116198203,2.568065969342078,4.801783633126505,2.2337176637844274,0,6
Texas Southern,11,208.84351915556266,205,0.23680129579495598,49.45441595441595,73.8587637805029,-5.384041388551823,0.3372550479065046,5.721296436458327,3,2
Florida A&M,10,197.5845705430113,180,0.24719615230905645,48.84214559386973,71.94214559386972,-6.320720383806241,-3.30154040489246,3.0191799789137805,3,1
Northern Iowa,11,200.95975414118186,235,0.2459799162440037,49.43206349206349,73.11735760971055,-0.7788952496291301,-6.02419682672778,-5.24530157709865,3,5
Nicholls St.,9,176.33894283992797,205,0.26220991832615215,46.237819799777526,67.85850945494994,-3.6928595099152286,-0.23431056878032494,3.4585489411349037,1,4
Indiana,10,180.40024314765697,180,0.2823773814659833,50.94094827586207,72.20344827586207,2.2687813770449226,4.909817407535897,2.6410360304909744,3,3
Vermont,11,190.9825890834025,215,0.29836204398861277,56.98195564516129,78.20788157108723,-3.1012995748761285,0.19773009160255772,3.2990296664786865,3,3
Austin Peay,7,137.35972370957379,185,0.38745483914702283,53.22068965517241,74.71379310344827,0.29236378285061776,5.775608957635438,5.48324517478482,1,5
Albany,11,202.92090729294904,225,0.23597326014735814,47.88390804597701,68.96486042692939,-6.430836719508165,-9.823529674176271,-3.3926929546681057,1,3
Robert Morris,11,202.3884522011174,185,0.2281421337589458,46.17333333333333,68.14933333333333,-1.3337949818091415,0.38018209217406895,1.7139770739832105,4,2
Utah Tech,9,188.2057339878448,145,0.31721453399902444,59.70159420289855,83.28223936418887,-2.28372091720688,0.049093576513646695,2.3328144937205266,5,0
East Carolina,11,198.20410522226314,195,0.2602872424975645,51.59,70.77333333333334,-4.4291349977248045,-0.9723914575578285,3.456743540166976,3,4
Sam Houston St.,10,189.4184558273268,230,0.24746200555278516,46.87387096774194,67.97387096774193,-0.6139765076152113,2.519130523023455,3.133107030638666,0,4
Fresno St.,13,246.75907758347057,215,0.20162176195188003,49.752,72.93587096774193,-3.3684814279192477,0.7449269767839698,4.113408404703217,5,1
Southern Illinois,12,252.54521340018275,190,0.3140070807678095,79.30098522167486,100.31066264102971,-8.48797018392524,3.9527173704062113,12.44068755433145,5,3
Buffalo,9,169.1384126984127,225,0.3167200339348256,53.569523809523815,76.36619047619048,-1.4468843428355325,2.055043743434056,3.5019280862695883,0,5
California,10,181.01212376333342,170,0.28840493525217076,52.2047898338221,73.15327468230694,0.9008456039292566,3.898251478629952,2.997405874700695,3,2
Providence,9,181.2464869593551,165,0.29864628638274143,54.12859025032938,77.4834289600068,0.8826145670589833,3.781677102540435,2.899062535481452,2,1
Little Rock,8,150.60692897779106,150,0.32907590273233406,49.56111111111112,72.22662835249042,-5.106353969106904,-1.5501380476446927,3.5562159214622118,3,2
Georgia Tech,11,212.16377883929613,155,0.22136113464677873,46.964814814814815,69.16481481481482,-2.7306208637693703,0.8031379209094117,3.533758784678782,7,0
Valparaiso,11,209.88336482334873,225,0.235422613717711,49.41129032258064,71.95929032258064,-2.202528914475002,3.0177471144214785,5.22027602889648,3,4
St. Bonaventure,9,162.7613906926407,175,0.2867927564402316,46.67878787878789,66.84545454545454,-0.7496089414485502,1.8437383884886178,2.593347329937168,1,2
