team,num_players,total_current_usage,total_adjusted_usage,current_team_bpm,optimal_team_bpm,bpm_improvement
Vanderbilt,10,187.81840659340656,100.00000000000001,6.587349163134,6.683852185672359,0.09650302253835896
Cal St. Bakersfield,10,192.42362300534717,100.0,-11.171532805035287,-1.4214242363874925,9.750108568647795
Jacksonville St.,11,196.00792298655864,100.0,-5.850026673894012,1.6739017144287414,7.523928388322753
Liberty,10,186.46188172043009,100.0,-7.957217644487416,-5.336317492465332,2.6209001520220845
Hampton,11,220.58424375624378,99.99999999999997,-12.155186990732709,-0.33224690722147543,11.822940083511233
Duquesne,13,234.42757588367684,99.99999999999997,-4.992967351432174,3.6408217725267025,8.633789123958877
Appalachian St.,9,157.96548365427674,100.0,-2.1996281233684742,1.4511476434219204,3.6507757667903946
George Mason,11,202.01935979635135,100.0,-0.7898790300434136,3.5357825495206754,4.325661579564089
Louisville,12,247.25958497408627,100.00000000000001,10.563906906145426,10.767720472893293,0.20381356674786666
Tennessee Tech,13,251.19233911016522,100.0,-14.6812164305524,-1.9811682078560569,12.700048222696344
South Carolina,12,211.69179322991823,99.99999999999999,-1.3906581703045353,3.2319458850343827,4.622604055338918
Georgetown,11,240.53622039724982,100.00000000000001,-27.487915511264355,-1.9323957216455645,25.55551978961879
Tarleton St.,13,247.76523451444237,100.00000000000003,-9.308132230254563,0.369467350865777,9.67759958112034
Prairie View A&M,8,152.91918997668998,99.99999999999999,-6.04581898241232,0.47039707521352486,6.5162160576258445
NJIT,13,241.65347431501343,100.0,-14.46257179339524,-1.7168242961837386,12.745747497211502
Saint Francis,12,204.26164450454513,100.0,-15.041941628755279,-6.9379411622645595,8.104000466490719
Rice,11,195.33555241609963,100.00000000000001,-7.332066532715143,0.9859120747899864,8.317978607505129
N.C. State,10,180.89820203081234,99.99999999999997,4.863185369058031,6.771587144871378,1.9084017758133474
Winthrop,11,202.7563799283154,100.0,-2.2291741133852594,2.5151071539089167,4.744281267294176
San Diego,13,248.55547943417713,99.99999999999997,-7.923593376837506,0.5691528084754297,8.492746185312937
Oklahoma,10,183.9882876524181,100.0,3.54791873777622,4.953340138204986,1.4054214004287662
Villanova,10,182.1476005747127,100.0,3.5380468128663436,4.407436106857654,0.8693892939913104
Mississippi St.,11,220.7029583030156,99.99999999999999,-0.39490886711704637,5.460982069054219,5.855890936171265
Canisius,11,202.79442471072156,100.00000000000001,-17.276484941752557,-4.157007746736124,13.119477195016433
Western Illinois,13,250.29688908171968,99.99999999999996,-23.829425799253677,-4.87016391800474,18.95926188124894
Utah Valley,11,203.3195244415289,100.00000000000001,0.015023058536669742,5.040124116539167,5.025101058002497
New Mexico St.,11,204.74138752052545,100.0,-2.54621390225216,4.168256858649448,6.714470760901608
San Francisco,11,232.83584159499924,100.0,-12.57635477570036,3.148549492119265,15.724904267819625
Alabama,12,217.2089433129507,99.99999999999997,8.248791117886242,6.961348544050867,-1.2874425738353752
Western Kentucky,12,215.10130771094637,100.00000000000001,-4.834142811422346,2.8900777141984566,7.724220525620803
Cal St. Northridge,9,169.32466397849464,99.99999999999999,-5.690270319555532,2.3757384637062953,8.066008783261827
Connecticut,11,195.96173816422655,100.00000000000003,9.671014579101763,8.212874432010874,-1.458140147090889
Cal Baptist,13,228.904049824306,100.00000000000001,-0.5922982546688897,2.979175815716913,3.5714740703858023
Portland St.,11,181.51790849282858,100.0,-3.329310550183151,2.5103579883855844,5.839668538568736
Virginia,12,224.2988971786173,100.00000000000001,5.320687678493558,3.525106191753161,-1.7955814867403967
Michigan St.,11,194.33442084165046,100.0,7.072905592496405,7.1344549260905055,0.0615493335941002
Tulsa,10,184.50816993464053,100.0,4.269413615335089,5.881442842088023,1.6120292267529344
Arkansas,9,171.2770378649326,100.0,6.668735610517464,7.909049035648359,1.2403134251308954
Missouri,13,240.06876807780037,100.0,-1.0808115367746394,3.2346276465541313,4.31543918332877
Pepperdine,11,193.38324712643677,99.99999999999999,-7.6611282567742,-0.3030683360942631,7.358059920679937
Mercer,9,160.85221847870486,100.00000000000001,-2.5360428272760878,1.007761106463934,3.543803933740022
Illinois St.,10,191.45306070155337,99.99999999999997,1.7612524487688501,4.4346257101078255,2.673373261338975
Samford,10,185.3928148065217,99.99999999999997,-5.682861699767159,1.5507412679127839,7.233602967679943
Arizona,12,216.29166306792624,100.0,10.590833802592014,7.062033686907349,-3.528800115684665
Southern Utah,10,198.86995369028836,100.00000000000001,-8.99667569480867,-2.9547572794337076,6.041918415374964
Coppin St.,14,281.4824965306551,100.00000000000003,-24.884185934955333,-7.3166772223060015,17.56750871264933
Illinois Chicago,11,211.77694429664535,100.00000000000001,-2.9409099029692904,2.2766388795751507,5.217548782544441
Saint Joseph's,10,185.06384898190046,99.99999999999999,-2.110457847489955,7.96395001371118,10.074407861201134
East Tennessee St.,10,191.1922492494065,100.00000000000001,-1.6620952253466386,4.856419303502164,6.518514528848803
Eastern Kentucky,11,216.57947784277798,100.00000000000001,-9.06676937526266,-2.2694881325681333,6.7972812426945275
Middle Tennessee,9,164.221921182266,100.0,-1.5008952510598021,2.4867909217697513,3.9876861728295534
Bryant,10,189.60396681358569,100.0,-14.224547340027927,-5.04958594075181,9.174961399276118
Texas A&M Corpus Chris,12,233.7175301794657,100.0,-6.42277424542057,0.4368389817541686,6.859613227174738
UTEP,9,165.74932763532766,100.00000000000001,-6.452235875291642,1.8006845347223657,8.252920410014008
Marshall,12,206.69908568757094,100.0,-6.444495647054819,3.802973417633116,10.247469064687936
SMU,10,174.6468531060443,99.99999999999999,2.7155534552897036,5.6682040361464185,2.952650580856715
Quinnipiac,10,183.44929602556635,100.00000000000003,-5.329141111096753,-0.11936785911722897,5.209773251979524
Tennessee St.,11,193.48075351213282,100.00000000000001,-4.447827518204503,2.172342839238565,6.620170357443067
Michigan,11,206.62353937728938,100.00000000000001,15.823752491834354,10.542933425037793,-5.28081906679656
Bradley,10,202.74996002037176,99.99999999999997,-5.761035730994664,0.5060592812083131,6.267095012202977
Ohio St.,9,166.1168857403665,100.00000000000001,6.095102510604039,6.95036402026466,0.8552615096606209
Maryland Eastern Shore,14,257.84619724478415,100.0,-19.438627509447727,-4.215646592402457,15.22298091704527
San Diego St.,11,208.6681126124987,100.0,5.558258930907507,6.684884563426271,1.1266256325187642
Notre Dame,11,214.97090454488935,100.00000000000003,1.6893564375295829,4.678717913114286,2.9893614755847033
Iona,11,197.5543231722611,100.0,-5.875966844131807,1.187674263653505,7.063641107785312
