Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Andre Washington,LIU,4,-9.49355,71.0,15.6,4897987.0
Shane Dezonie,Vanderbilt,5,-0.733709,77.0,14.2,4683732.0
Noah Reynolds,Wyoming,10,-2.6157,75.0,17.5,4897551.0
Keaton Norris,Wright St.,14,-1.27711,72.0,7.7,4898194.0
David Joplin,Marquette,17,-2.19829,79.0,22.3,4684306.0
Stevie Mitchell,Marquette,6,1.68157,74.0,16.6,4683840.0
Payton Sandfort,Iowa,14,3.95046,79.0,21.9,4697270.0
Lamaj Lewis,Loyola Marymount,4,-4.02708,78.0,11.6,4896979.0
Matthew Cleveland,Florida St.,3,-0.915219,79.0,24.3,4897007.0
Tyty Washington Jr.,Kentucky,9,6.60826,75.0,22.2,4683749.0
Kendall Brown,Baylor,2,7.786,80.0,17.5,4433254.0
Jeremy Sochan,Baylor,2,8.94783,81.0,20.0,4610139.0
Andre Snoddy,Central Connecticut,8,-4.3245,78.0,19.0,4896537.0
Ryan Hawkins,Creighton,3,4.97516,79.0,20.0,4897413.0
Camren Hunter,Central Arkansas,9,-0.261356,75.0,24.6,4897018.0
Connor Hickman,Bradley,14,0.130904,75.0,15.5,4897447.0
KJ Simpson,Colorado,5,-0.711696,74.0,24.2,4683834.0
Darius Simmons,Tennessee Martin,10,-5.84771,71.0,19.6,4402209.0
AJ Clayton,Ohio,12,-0.446583,79.0,16.1,4898339.0
Terry Roberts,Bradley,9,5.06147,75.0,29.8,4897444.0
Dancell Leter,Utah Tech,3,0.814923,80.0,21.5,4896875.0
Malevy Leons,Bradley,12,5.48193,81.0,15.4,4897449.0
Dominique Alexander,Chicago St.,5,-1.67683,70.0,19.1,4896858.0
Kennedy Chandler,Tennessee,9,7.36443,72.0,25.2,4432646.0
Brandon Huntley-Hatfield,Tennessee,16,-0.364578,82.0,19.6,4432680.0
Preston Ruedinger,Valparaiso,17,-1.10834,74.0,11.7,4897485.0
Cam Crawford,Indiana St.,15,-2.28105,77.0,10.8,4897466.0
Timothy Barnes,UMKC,12,-0.181484,75.0,12.8,4897230.0
Jack Chapman,UMKC,7,-3.41976,79.0,11.5,4897234.0
Veljko Ilic,Loyola MD,2,-1.77384,82.0,24.5,4897888.0
Matt Allocco,Princeton,12,0.806511,76.0,10.4,4898232.0
Jaden Cooper,Columbia,5,-5.61645,75.0,19.0,4898212.0
Nana Owusu-Anane,Brown,7,-4.08152,80.0,20.8,4898210.0
Jalen Lake,Colorado St.,14,-0.510216,76.0,15.3,4897514.0
Robbie Stankard,Columbia,4,-9.06428,81.0,17.3,4898214.0
Blaise Beauchamp,Evansville,1,-5.45276,75.0,23.3,4897454.0
Sebastien Lamaute,Fairleigh Dickinson,10,-6.24704,74.0,18.2,4897996.0
Efton Reid,LSU,15,1.56306,83.0,17.8,4433594.0
Alex Fudge,LSU,6,2.54065,80.0,16.3,4896481.0
Brandon Murray,LSU,17,2.47136,77.0,17.1,4684166.0
Dalen Ridgnal,Georgia,3,-0.583588,79.0,14.8,4896465.0
Kario Oquendo,Georgia,3,-0.883622,76.0,26.5,4896463.0
Linton Acliese III,Eastern Washington,3,0.68267,78.0,23.5,4609216.0
Anthony Pritchard,Tulsa,5,-2.65674,75.0,19.4,4897155.0
Cameron Hildreth,Wake Forest,6,1.44728,76.0,18.5,4696316.0
Duke Deen,Troy,1,0.189037,68.0,22.9,4897149.0
Kyle Duke,North Carolina A&T,5,-8.32061,76.0,17.7,4897639.0
Wooga Poplar,Miami FL,17,-3.24889,77.0,17.6,4897397.0
Sam Lecholat,Montana St.,15,-1.63967,79.0,13.7,4897926.0
Sam Ihekwoaba,Maine,6,-2.97451,77.0,23.4,4897161.0
Ian Schieffelin,Clemson,7,0.0841875,79.0,19.8,4693954.0
Curtis Jones,Buffalo,10,-1.37757,77.0,12.9,4898369.0
Jayden Taylor,Butler,1,0.504864,76.0,19.9,4589483.0
Rakeim Gary,South Carolina St.,10,-5.20344,70.0,21.0,4898329.0
Antonio TJ Madlock,South Carolina St.,1,-0.585692,75.0,21.1,4898331.0
Omer Croskey,South Carolina St.,17,-3.30626,78.0,18.3,4593418.0
Claudell Harris Jr.,Charleston Southern,1,-4.24766,75.0,21.6,4896985.0
Nolan Hickman,Gonzaga,12,4.146,74.0,14.4,4683737.0
Hunter Sallis,Gonzaga,12,5.04106,77.0,14.5,4433281.0
Chet Holmgren,Gonzaga,0,15.0043,84.0,21.4,4433255.0
CJ Fulton,Lafayette,11,-1.61169,74.0,14.6,4897901.0
Chris Rubayo,Lafayette,0,0.0316043,81.0,10.9,4897903.0
Kaleb Brown,Missouri,4,-4.17913,78.0,13.0,4690766.0
