ncaa_id,year,rapm,off_rapm,def_rapm,base_bpm,win_rate,games_played,total_minutes
3149011,2019,-2.83,-2.73,0.28,-1.26,0.375,32,571.0
4066661,2019,1.12,3.12,-1.52,3.06,0.355,31,1044.0
3137705,2019,-1.38,0.96,-1.89,-0.02,0.455,33,926.0
3137713,2019,4.51,1.56,3.27,4.42,0.676,34,1098.0
3137729,2019,-8.68,-4.95,-3.44,-6.1,0.129,31,935.0
3137728,2019,2.91,-0.73,4.14,2.49,0.833,36,716.0
3138229,2019,2.42,2.2,0.58,2.77,0.613,31,912.0
3138269,2019,-9.71,-7.73,-1.48,-7.63,0.333,12,190.0
3138292,2019,1.06,3.04,-1.53,1.61,0.613,31,1089.0
3148990,2019,-2.54,-0.81,-1.2,-0.91,0.438,32,949.0
3148992,2019,2.59,2.27,0.85,2.02,0.879,33,1171.0
3148993,2019,3.03,3.81,-0.23,4.29,0.522,23,762.0
3148995,2019,-1.17,-0.88,0.31,0.73,0.419,31,903.0
3132482,2019,5.59,4.91,1.08,5.34,0.75,12,404.0
3132486,2019,3.01,3.51,-0.01,4.01,0.545,33,909.0
4398170,2019,-0.79,2.44,-2.86,0.91,0.346,26,905.0
3132539,2019,-6.71,-3.79,-2.47,-4.07,0.2,25,697.0
3132540,2019,-2.35,-1.49,-0.43,-1.35,0.514,35,1040.0
3155712,2019,7.47,6.12,1.73,7.14,0.758,33,801.0
3130509,2019,0.25,-0.91,1.31,0.94,0.438,32,988.0
3130516,2019,-0.31,-0.31,0.38,-0.67,0.765,34,443.0
3130525,2019,-0.25,0.94,-0.74,1.04,0.469,32,1034.0
3130743,2019,-2.93,-0.45,-1.99,-1.87,0.531,32,369.5
3130746,2019,-2.73,-0.3,-1.95,-1.63,0.517,29,937.0
3147346,2019,-0.72,-0.85,0.13,-1.16,0.588,34,716.0
3147347,2019,-7.58,-2.48,-4.6,-5.08,0.25,24,616.0
3130753,2019,-1.88,0.16,-1.44,-0.05,0.433,30,1053.0
3948561,2019,0.16,-3.23,3.44,0.09,0.538,26,357.0
3130767,2019,5.06,5.09,0.42,4.78,0.781,32,946.0
3134244,2019,-3.04,-1.97,-0.57,-1.58,0.455,33,687.0
3155501,2019,-4.54,-3.52,-0.8,-3.39,0.385,26,566.0
3136801,2019,0.13,1.43,-0.75,1.88,0.429,28,983.0
3136850,2019,-1.83,-0.94,-0.34,-0.44,0.5,28,695.0
3147488,2019,-0.13,-1.63,1.51,-0.44,0.562,32,325.0
4283589,2019,-4.03,0.28,-3.84,-2.21,0.37,27,941.0
3129896,2019,-6.82,-1.91,-4.3,-4.85,0.407,27,831.0
3133915,2019,2.0,3.4,-1.0,2.86,0.528,36,945.0
3129910,2019,3.28,4.28,-0.56,3.78,0.625,32,1090.0
3129911,2019,-9.36,-7.79,-1.1,-9.16,0.692,26,193.0
3129928,2019,-0.88,0.43,-0.79,0.27,0.531,32,1064.0
3133922,2019,3.68,1.24,2.61,3.56,0.606,33,1031.0
3133935,2019,-0.55,-1.38,1.29,0.21,0.576,33,813.0
3133945,2019,-5.73,-2.28,-3.04,-3.18,0.194,31,845.0
3149031,2019,1.06,0.07,1.05,1.28,0.484,31,837.0
3149032,2019,6.09,4.25,1.93,5.67,0.632,19,589.0
3149033,2019,4.35,2.71,1.98,4.43,0.658,38,1027.0
3149034,2019,-3.89,-3.11,-0.37,-3.24,0.577,26,459.0
3136895,2019,4.29,1.87,2.78,5.29,0.484,31,1018.0
3136897,2019,-0.1,1.51,-1.16,0.78,0.548,31,997.0
3136929,2019,1.75,1.52,0.73,2.66,0.565,23,668.0
3136934,2019,-5.41,-5.49,0.28,-4.26,0.37,27,403.0
3148984,2019,-4.0,-1.85,-1.68,-1.8,0.3,10,277.0
3136942,2019,0.32,0.83,0.01,1.7,0.484,31,942.0
3137001,2019,-0.25,-0.94,0.83,0.5,0.419,31,853.0
3137005,2019,-2.51,1.09,-3.0,-0.44,0.387,31,1097.0
3135095,2019,-1.5,0.79,-2.09,-0.54,0.407,27,961.0
3135097,2019,-1.44,-1.89,0.77,-0.96,0.56,25,311.0
3135098,2019,3.68,4.46,-0.3,3.92,0.697,33,1104.0
3155939,2019,-3.16,-0.79,-1.85,-1.45,0.419,31,931.0
3155941,2019,7.74,5.02,3.0,6.47,0.892,37,1157.0
3135122,2019,1.2,-1.2,2.9,1.82,0.625,24,225.0
3136510,2019,-3.44,-1.88,-0.96,-2.94,0.7,20,280.0
3136512,2019,-4.89,-4.14,-0.25,-2.81,0.333,24,508.0
3146558,2019,1.5,0.44,1.19,1.43,0.581,31,354.0
3136520,2019,-3.88,-2.14,-1.18,-3.08,0.621,29,792.0
3136522,2019,3.59,3.6,0.5,3.85,0.704,27,940.0
3136523,2019,5.13,4.78,0.75,5.3,0.667,30,1025.0
3136524,2019,2.63,3.43,-0.46,2.96,0.606,33,1130.0
4278610,2019,-13.25,-6.74,-5.96,-10.77,0.28,25,219.5
3153166,2019,-0.33,-0.69,0.64,0.08,0.559,34,522.0
3153373,2019,3.63,-0.72,4.65,2.24,0.929,28,517.0
3152335,2019,-7.5,-3.49,-3.49,-5.86,0.433,30,850.0
3152336,2019,-6.95,-5.23,-1.28,-6.08,0.545,22,193.5
3152337,2019,0.36,-0.4,1.28,1.22,0.586,29,698.0
3137242,2019,-5.59,-5.06,-0.06,-4.15,0.448,29,257.0
3137243,2019,-1.57,1.8,-2.77,0.5,0.387,31,1018.0
3148919,2019,5.81,3.78,2.62,5.81,0.8,15,428.0
3137247,2019,-2.07,-1.18,-0.37,-0.69,0.484,31,857.0
3137250,2019,-0.61,2.35,-2.47,0.76,0.469,32,617.0
3148927,2019,-2.39,-1.38,-0.65,-0.59,0.323,31,846.0
3148930,2019,-1.36,1.02,-1.78,-0.12,0.552,29,798.0
3137252,2019,-4.35,-2.18,-1.66,-2.6,0.407,27,557.0
