Season,SeasonLabel,TeamId,Team,Conference,AthleteId,AthleteSourceId,Name,Position,Games,Starts,Minutes,Points,Turnovers,Fouls,Assists,Steals,Blocks,OffensiveRating,DefensiveRating,NetRating,PORPAG,Usage,AssistsTurnoverRatio,OffensiveReboundPct,FreeThrowRate,EffectiveFieldGoalPct,TrueShootingPct,FieldGoals Made,FieldGoals Attempted,FieldGoals Pct,TwoPointFieldGoals Made,TwoPointFieldGoals Attempted,TwoPointFieldGoals Pct,ThreePointFieldGoals Made,ThreePointFieldGoals Attempted,ThreePointFieldGoals Pct,FreeThrows Made,FreeThrows Attempted,FreeThrows Pct,Rebounds Offensive,Rebounds Defensive,Rebounds Total,WinShares Offensive,WinShares Defensive,WinShares Total,WinShares TotalPer40,PPG,RPG,APG,SPG,BPG,TOPG,FPG,MPG,data_tier,BPM,VORP,RAPM,off_RAPM,def_RAPM,OBPM,DBPM
2020,20192020,503,Piedmont,,28788,4403679,Justin Quick,G,2,2,51,23,6,4,3,4,0,89.5,210.1,-120.6,0.1,21.1,0.5,33.3,66.7,60.0,0.593,7,15,46.7,3,7,42.9,4,8,50.0,5,10,50.0,2,4,6,0.0,-0.4,-0.4,-0.314,11.5,3.0,1.5,2.0,0.0,3.0,2.0,25.5,basic,,,,,,,
2020,20192020,503,Piedmont,,28789,4606867,Chris Chumney,G,2,0,11,6,1,0,0,0,0,86.3,230.0,-143.7,0.0,11.6,0.0,,0.0,150.0,1.5,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0,0.0,-0.1,-0.1,-0.364,3.0,0.0,0.0,0.0,0.0,0.5,0.0,5.5,basic,,,,,,,
2020,20192020,503,Piedmont,,28792,4606864,Ryan Hanson,G,1,0,1,0,0,0,0,0,0,,145.9,,,0.0,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,basic,,,,,,,
2020,20192020,503,Piedmont,,31637,4606863,Jake Smith,G,2,0,9,3,0,0,2,0,0,88.0,230.0,-142.0,0.0,20.9,,,25.0,37.5,0.338,1,4,25.0,0,0,0.0,1,4,25.0,0,1,0.0,0,0,0,0.0,-0.1,-0.1,-0.444,1.5,0.0,1.0,0.0,0.0,0.0,0.0,4.5,basic,,,,,,,
2020,20192020,503,Piedmont,,31639,4606868,Austen McKnight,F,1,0,2,0,0,0,0,0,0,20.5,145.9,-125.4,-0.9,38.6,,100.0,0.0,0.0,0.0,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,basic,,,,,,,
2020,20192020,503,Piedmont,,31640,4286151,Michael Joseph,F,2,2,33,9,2,5,1,0,1,90.7,220.2,-129.5,0.1,14.0,0.5,42.9,25.0,43.8,0.507,3,8,37.5,2,5,40.0,1,3,33.3,2,2,100.0,3,4,7,0.0,-0.3,-0.3,-0.364,4.5,3.5,0.5,0.0,0.5,1.0,2.5,16.5,basic,,,,,,,
2020,20192020,503,Piedmont,,40538,4074076,Miles Riley,G,2,2,41,16,8,3,6,1,0,75.3,216.5,-141.2,-1.1,24.9,0.75,12.5,53.8,46.2,0.498,6,13,46.2,6,12,50.0,0,1,0.0,4,7,57.1,1,7,8,-0.2,-0.4,-0.6,-0.585,8.0,4.0,3.0,0.5,0.0,4.0,1.5,20.5,basic,,,,,,,
2020,20192020,503,Piedmont,,40539,4286150,Cole Huskey,G,2,0,21,5,1,1,2,0,0,75.7,229.7,-154.0,-0.3,16.2,2.0,100.0,0.0,35.7,0.357,2,7,28.6,1,4,25.0,1,3,33.3,0,0,0.0,1,0,1,0.0,-0.2,-0.2,-0.381,2.5,0.5,1.0,0.0,0.0,0.5,0.5,10.5,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,1544,4602550,Jared Strickland,G,2,0,10,0,0,1,0,0,0,0.0,130.1,-130.1,-0.6,8.5,,0.0,0.0,0.0,0.0,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,5.0,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,24326,4602543,Will Philpot,F,2,2,56,12,7,4,2,1,1,73.1,121.5,-48.4,-0.9,13.7,0.29,30.0,0.0,54.5,0.545,5,11,45.5,3,8,37.5,2,3,66.7,0,0,0.0,6,14,20,-0.1,0.0,-0.1,-0.071,6.0,10.0,1.0,0.5,0.5,3.5,2.0,28.0,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,24327,4602548,Colyn Sturgill,C,2,2,29,2,2,5,0,1,1,31.1,121.3,-90.2,-1.4,10.3,0.0,0.0,0.0,20.0,0.2,1,5,20.0,1,5,20.0,0,0,0.0,0,0,0.0,0,5,5,-0.1,0.0,-0.1,-0.138,1.0,2.5,0.0,0.5,0.5,1.0,2.5,14.5,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,24328,4602539,Bryce Slone,G,2,0,40,15,7,5,2,2,0,70.0,125.4,-55.4,-1.4,24.3,0.29,25.0,13.3,46.7,0.472,5,15,33.3,1,3,33.3,4,12,33.3,1,2,50.0,1,3,4,-0.1,0.0,-0.1,-0.1,7.5,2.0,1.0,1.0,0.0,3.5,2.5,20.0,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,24329,4602553,Noah Caudill,C,1,0,14,4,1,1,0,0,1,78.0,131.1,-53.1,-0.5,19.7,0.0,50.0,0.0,40.0,0.4,2,5,40.0,2,5,40.0,0,0,0.0,0,0,0.0,3,3,6,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,14.0,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,24330,4602537,Cameron Worrix,G,2,0,5,0,0,0,0,0,0,,134.9,,,0.0,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,30372,4288866,Noah Young,G,2,2,61,15,8,3,4,0,0,54.9,132.6,-77.7,-3.7,22.4,0.5,0.0,22.7,27.3,0.31,6,22,27.3,6,19,31.6,0,3,0.0,3,5,60.0,0,3,3,-0.2,-0.1,-0.3,-0.197,7.5,1.5,2.0,0.0,0.0,4.0,1.5,30.5,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,30374,4602549,Cumecus Cates,G,1,0,1,0,0,0,0,0,0,0.0,124.1,-124.1,-0.6,39.6,,,0.0,0.0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,30375,4602542,Idris Akinyemi,G,2,0,25,2,2,6,0,3,1,39.9,111.6,-71.7,-1.2,11.9,0.0,42.9,0.0,20.0,0.2,1,5,20.0,1,5,20.0,0,0,0.0,0,0,0.0,3,4,7,-0.1,0.0,-0.1,-0.16,1.0,3.5,0.0,1.5,0.5,1.0,3.0,12.5,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,33811,4602540,Chandler Stewart,ATH,2,0,27,7,1,1,3,0,0,93.8,133.1,-39.3,0.2,14.2,3.0,0.0,0.0,43.8,0.438,3,8,37.5,2,4,50.0,1,4,25.0,0,0,0.0,0,1,1,0.0,0.0,0.0,0.0,3.5,0.5,1.5,0.0,0.0,0.5,0.5,13.5,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,33813,4602551,Gabe Price,ATH,2,0,4,2,0,0,0,0,0,78.5,134.9,-56.4,-0.1,31.9,,100.0,0.0,33.3,0.333,1,3,33.3,1,3,33.3,0,0,0.0,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,33816,4602552,Kolten Hofsess,ATH,2,0,4,0,0,0,0,0,0,0.0,124.8,-124.8,-0.6,21.3,,0.0,0.0,0.0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,33817,4602547,Tanner Perdue,ATH,1,0,13,6,0,0,0,0,0,,118.0,,,8.0,,25.0,,,1.136,0,0,0.0,0,0,0.0,0,0,0.0,6,6,100.0,1,3,4,,0.0,,,6.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,basic,,,,,,,
