Season,SeasonLabel,TeamId,Team,Conference,AthleteId,AthleteSourceId,Name,Position,Games,Starts,Minutes,Points,Turnovers,Fouls,Assists,Steals,Blocks,OffensiveRating,DefensiveRating,NetRating,PORPAG,Usage,AssistsTurnoverRatio,OffensiveReboundPct,FreeThrowRate,EffectiveFieldGoalPct,TrueShootingPct,FieldGoals Made,FieldGoals Attempted,FieldGoals Pct,TwoPointFieldGoals Made,TwoPointFieldGoals Attempted,TwoPointFieldGoals Pct,ThreePointFieldGoals Made,ThreePointFieldGoals Attempted,ThreePointFieldGoals Pct,FreeThrows Made,FreeThrows Attempted,FreeThrows Pct,Rebounds Offensive,Rebounds Defensive,Rebounds Total,WinShares Offensive,WinShares Defensive,WinShares Total,WinShares TotalPer40,PPG,RPG,APG,SPG,BPG,TOPG,FPG,MPG,data_tier
2026,20252026,10,Arizona State,Big 12,7650,5239488,Quentin McCoy,G,3,0,0,0,0,1,0,0,0,0.0,120.398,,,0.0,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,basic
2026,20252026,10,Arizona State,Big 12,8339,5105457,Maurice Odum,G,33,33,1116,541,104,80,187,46,3,108.9,113.355,-2.2,3.4,26.6,1.8,13.9,33.8,51.3,0.569,168,414,40.6,79,178,44.4,89,236,37.7,116,140,82.9,14,87,101,2.7,0.5,3.2,0.115,16.4,3.1,5.7,1.4,0.1,3.2,2.4,33.8,basic
2026,20252026,10,Arizona State,Big 12,8475,5176444,Santiago Trouet,F,31,30,797,252,30,59,27,21,23,110.6,110.678,0.1,1.7,17.3,0.9,38.8,40.9,46.1,0.526,91,203,44.8,86,179,48.0,5,24,20.8,65,83,78.3,73,115,188,1.2,0.5,1.7,0.085,8.1,6.1,0.9,0.7,0.7,1.0,1.9,25.7,basic
2026,20252026,10,Arizona State,Big 12,13337,5189257,Anthony Johnson,G,33,5,821,437,71,72,57,44,11,104.4,109.921,-2.2,2.3,26.9,0.8,19.6,59.6,49.7,0.573,137,302,45.4,111,223,49.8,26,79,32.9,137,180,76.1,21,86,107,1.6,0.6,2.2,0.107,13.2,3.2,1.7,1.3,0.3,2.2,2.2,24.9,basic
2026,20252026,10,Arizona State,Big 12,15104,5263625,Trevor Best,G,18,0,104,23,6,8,2,1,0,80.0,117.587,-37.0,-0.1,15.3,0.33,27.3,50.0,36.4,0.428,7,22,31.8,5,10,50.0,2,12,16.7,7,11,63.6,3,8,11,-0.1,0.0,-0.1,-0.038,1.3,0.6,0.1,0.1,0.0,0.3,0.4,5.8,basic
2026,20252026,10,Arizona State,Big 12,197997,5311903,Massamba Diop,C,33,33,979,449,62,67,35,21,68,113.2,109.903,5.2,2.9,21.3,0.56,32.6,48.5,58.2,0.623,169,297,56.9,161,271,59.4,8,26,30.8,103,144,71.5,63,130,193,2.2,0.7,2.9,0.118,13.6,5.8,1.1,0.6,2.1,1.9,2.0,29.7,basic
2026,20252026,10,Arizona State,Big 12,197999,5311900,Andrija Grbović,F,33,27,652,225,20,73,12,15,6,110.4,113.883,-2.8,1.3,15.8,0.6,27.4,20.2,51.9,0.55,76,188,40.4,33,65,50.8,43,123,35.0,30,38,78.9,26,69,95,0.9,0.2,1.1,0.067,6.8,2.9,0.4,0.5,0.2,0.6,2.2,19.8,basic
2026,20252026,10,Arizona State,Big 12,198004,5311901,Noah Meeusen,G,30,11,817,177,39,59,79,41,7,107.1,111.251,-4.1,1.2,13.0,2.03,20.0,28.1,49.0,0.54,56,146,38.4,25,46,54.3,31,100,31.0,34,41,82.9,19,76,95,0.8,0.4,1.2,0.059,5.9,3.2,2.6,1.4,0.2,1.3,2.0,27.2,basic
2026,20252026,10,Arizona State,Big 12,198008,5144131,Kash Polk,F,6,0,1,0,0,0,0,0,0,0.0,122.946,,,0.0,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,basic
2026,20252026,11,Arizona,Big 12,265,5105555,Tobe Awaka,F,39,3,809,362,38,106,31,14,25,127.1,93.369,35.8,2.7,21.0,0.82,38.9,66.4,59.9,0.628,131,223,58.7,126,211,59.7,5,12,41.7,95,148,64.2,137,215,352,2.8,1.9,4.7,0.232,9.3,9.0,0.8,0.4,0.6,1.0,2.7,20.7,basic
